idx,total,fname,family,gate_set,opt,qbits,strategy,noise,comm_multiplier,primitive,parts,orig_line
109,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,cat,10,"Experiment 109/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, cat, parts=10"
110,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,teleportation,2,"Experiment 110/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, teleportation, parts=2"
111,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,teleportation,4,"Experiment 111/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, teleportation, parts=4"
112,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,teleportation,6,"Experiment 112/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, teleportation, parts=6"
113,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,teleportation,8,"Experiment 113/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, teleportation, parts=8"
114,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,teleportation,10,"Experiment 114/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, teleportation, parts=10"
115,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,cat,2,"Experiment 115/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, cat, parts=2"
116,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,cat,4,"Experiment 116/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, cat, parts=4"
117,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,cat,6,"Experiment 117/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, cat, parts=6"
118,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,cat,8,"Experiment 118/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, cat, parts=8"
119,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,cat,10,"Experiment 119/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, cat, parts=10"
120,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,teleportation,2,"Experiment 120/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, teleportation, parts=2"
121,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,teleportation,4,"Experiment 121/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, teleportation, parts=4"
122,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,teleportation,6,"Experiment 122/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, teleportation, parts=6"
123,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,teleportation,8,"Experiment 123/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, teleportation, parts=8"
124,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.05,teleportation,10,"Experiment 124/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.05x, teleportation, parts=10"
125,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,cat,2,"Experiment 125/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, cat, parts=2"
126,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,cat,4,"Experiment 126/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, cat, parts=4"
127,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,cat,6,"Experiment 127/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, cat, parts=6"
128,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,cat,8,"Experiment 128/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, cat, parts=8"
129,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,cat,10,"Experiment 129/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, cat, parts=10"
130,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,teleportation,2,"Experiment 130/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, teleportation, parts=2"
131,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,teleportation,4,"Experiment 131/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, teleportation, parts=4"
132,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,teleportation,6,"Experiment 132/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, teleportation, parts=6"
133,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,teleportation,8,"Experiment 133/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, teleportation, parts=8"
134,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.1,teleportation,10,"Experiment 134/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.1x, teleportation, parts=10"
135,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,cat,2,"Experiment 135/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, cat, parts=2"
136,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,cat,4,"Experiment 136/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, cat, parts=4"
137,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,cat,6,"Experiment 137/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, cat, parts=6"
138,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,cat,8,"Experiment 138/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, cat, parts=8"
139,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,cat,10,"Experiment 139/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, cat, parts=10"
140,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,teleportation,2,"Experiment 140/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, teleportation, parts=2"
141,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,teleportation,4,"Experiment 141/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, teleportation, parts=4"
142,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,teleportation,6,"Experiment 142/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, teleportation, parts=6"
143,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,teleportation,8,"Experiment 143/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, teleportation, parts=8"
144,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.2,teleportation,10,"Experiment 144/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.2x, teleportation, parts=10"
145,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,cat,2,"Experiment 145/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, cat, parts=2"
146,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,cat,4,"Experiment 146/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, cat, parts=4"
147,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,cat,6,"Experiment 147/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, cat, parts=6"
148,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,cat,8,"Experiment 148/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, cat, parts=8"
149,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,cat,10,"Experiment 149/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, cat, parts=10"
150,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,teleportation,2,"Experiment 150/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, teleportation, parts=2"
151,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,teleportation,4,"Experiment 151/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, teleportation, parts=4"
152,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,teleportation,6,"Experiment 152/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, teleportation, parts=6"
153,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,teleportation,8,"Experiment 153/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, teleportation, parts=8"
154,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.0,teleportation,10,"Experiment 154/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.0x, teleportation, parts=10"
155,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,cat,2,"Experiment 155/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, cat, parts=2"
156,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,cat,4,"Experiment 156/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, cat, parts=4"
157,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,cat,6,"Experiment 157/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, cat, parts=6"
158,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,cat,8,"Experiment 158/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, cat, parts=8"
159,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,cat,10,"Experiment 159/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, cat, parts=10"
160,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,teleportation,2,"Experiment 160/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, teleportation, parts=2"
161,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,teleportation,4,"Experiment 161/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, teleportation, parts=4"
162,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,teleportation,6,"Experiment 162/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, teleportation, parts=6"
163,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,teleportation,8,"Experiment 163/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, teleportation, parts=8"
164,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.05,teleportation,10,"Experiment 164/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.05x, teleportation, parts=10"
165,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,cat,2,"Experiment 165/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, cat, parts=2"
166,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,cat,4,"Experiment 166/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, cat, parts=4"
167,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,cat,6,"Experiment 167/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, cat, parts=6"
168,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,cat,8,"Experiment 168/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, cat, parts=8"
169,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,cat,10,"Experiment 169/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, cat, parts=10"
170,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,teleportation,2,"Experiment 170/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, teleportation, parts=2"
171,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,teleportation,4,"Experiment 171/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, teleportation, parts=4"
172,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,teleportation,6,"Experiment 172/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, teleportation, parts=6"
173,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,teleportation,8,"Experiment 173/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, teleportation, parts=8"
174,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.1,teleportation,10,"Experiment 174/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.1x, teleportation, parts=10"
175,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,cat,2,"Experiment 175/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, cat, parts=2"
176,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,cat,4,"Experiment 176/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, cat, parts=4"
177,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,cat,6,"Experiment 177/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, cat, parts=6"
178,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,cat,8,"Experiment 178/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, cat, parts=8"
179,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,cat,10,"Experiment 179/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, cat, parts=10"
180,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,teleportation,2,"Experiment 180/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, teleportation, parts=2"
181,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,teleportation,4,"Experiment 181/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, teleportation, parts=4"
182,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,teleportation,6,"Experiment 182/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, teleportation, parts=6"
183,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,teleportation,8,"Experiment 183/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, teleportation, parts=8"
184,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.01,1.2,teleportation,10,"Experiment 184/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.01, comm=1.2x, teleportation, parts=10"
185,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,cat,2,"Experiment 185/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, cat, parts=2"
186,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,cat,4,"Experiment 186/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, cat, parts=4"
187,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,cat,6,"Experiment 187/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, cat, parts=6"
188,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,cat,8,"Experiment 188/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, cat, parts=8"
189,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,cat,10,"Experiment 189/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, cat, parts=10"
190,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,teleportation,2,"Experiment 190/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, teleportation, parts=2"
191,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,teleportation,4,"Experiment 191/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, teleportation, parts=4"
192,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,teleportation,6,"Experiment 192/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, teleportation, parts=6"
193,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,teleportation,8,"Experiment 193/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, teleportation, parts=8"
194,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.0,teleportation,10,"Experiment 194/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.0x, teleportation, parts=10"
195,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,cat,2,"Experiment 195/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, cat, parts=2"
196,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,cat,4,"Experiment 196/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, cat, parts=4"
197,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,cat,6,"Experiment 197/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, cat, parts=6"
198,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,cat,8,"Experiment 198/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, cat, parts=8"
199,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,cat,10,"Experiment 199/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, cat, parts=10"
200,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,teleportation,2,"Experiment 200/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, teleportation, parts=2"
201,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,teleportation,4,"Experiment 201/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, teleportation, parts=4"
202,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,teleportation,6,"Experiment 202/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, teleportation, parts=6"
203,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,teleportation,8,"Experiment 203/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, teleportation, parts=8"
204,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.05,teleportation,10,"Experiment 204/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.05x, teleportation, parts=10"
205,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,cat,2,"Experiment 205/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, cat, parts=2"
206,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,cat,4,"Experiment 206/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, cat, parts=4"
207,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,cat,6,"Experiment 207/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, cat, parts=6"
208,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,cat,8,"Experiment 208/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, cat, parts=8"
209,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,cat,10,"Experiment 209/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, cat, parts=10"
210,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,teleportation,2,"Experiment 210/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, teleportation, parts=2"
211,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,teleportation,4,"Experiment 211/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, teleportation, parts=4"
212,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,teleportation,6,"Experiment 212/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, teleportation, parts=6"
213,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,teleportation,8,"Experiment 213/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, teleportation, parts=8"
214,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.1,teleportation,10,"Experiment 214/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.1x, teleportation, parts=10"
215,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.2,cat,2,"Experiment 215/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.2x, cat, parts=2"
216,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,local,0.02,1.2,cat,4,"Experiment 216/26240: graphstate_nativegates_ibm_opt0_112q (112q), local, noise=0.02, comm=1.2x, cat, parts=4"
